time,mean_beta,mean_beta_equilibrium,mean_stimulus,mean_strain_energy,mean_sigma_xx,orientation_coherence,mean_orientation_angle_deg,mean_target_alignment
2.200000000000000178e+00,2.959925801201941375e-01,4.782996757153510914e-01,1.711864861749313460e-01,1.519912571396092871e-01,1.683087454707981268e+00,9.180732960342180560e-01,4.240454130747678363e+01,5.337991061162008499e-01
2.300000000000000266e+00,2.987067791702050501e-01,5.095401472826479594e-01,1.839039023523969807e-01,1.757061453991921318e-01,1.830141062531335683e+00,9.194121812492247470e-01,4.196213258959332393e+01,5.397027136650993651e-01
2.400000000000000355e+00,3.018456790883528584e-01,5.391593352214943957e-01,1.966731804927814575e-01,2.013248902620435599e-01,1.981964349782877388e+00,9.207776591055182314e-01,4.148846181653940590e+01,5.460722594077012104e-01
2.500000000000000000e+00,3.053788191338810409e-01,5.669979421999055136e-01,2.094432774496831628e-01,2.287827294443661452e-01,2.138375316458170250e+00,9.221478849402502398e-01,4.098655350406900766e+01,5.528754377635154427e-01
2.600000000000000089e+00,3.092738204390818590e-01,5.929705870184621697e-01,2.221637335697129734e-01,2.579915788769176488e-01,2.299202240900113825e+00,9.235015559009557284e-01,4.045957857704426885e+01,5.600764885582394381e-01
2.700000000000000178e+00,3.134975150343314865e-01,6.170518228000640981e-01,2.347848683923417779e-01,2.888407855624163800e-01,2.464311983587623711e+00,9.248184901191380813e-01,3.991074389539266321e+01,5.676374778417032640e-01
2.800000000000000266e+00,3.180168499020982198e-01,6.392624606757593142e-01,2.472579642841947201e-01,3.211982318592216390e-01,2.633595117338584757e+00,9.260800497555787825e-01,3.934320454966401570e+01,5.755194022453896663e-01
2.900000000000000355e+00,3.227995739575474921e-01,6.596571955266593568e-01,2.595354376095583282e-01,3.549117038121217815e-01,2.806996892816317590e+00,9.272694232380723767e-01,3.875999816085290917e+01,5.836831050962448808e-01
3.000000000000000000e+00,3.278147305726371585e-01,6.783140306207581238e-01,2.715709972097452574e-01,3.898102809509129130e-01,2.984441009631227271e+00,9.283717884322355562e-01,3.816399887503492039e+01,5.920900088718775711e-01
3.100000000000000089e+00,3.330329853208378044e-01,6.953256418664154337e-01,2.833197901262552443e-01,4.257057089948914630e-01,3.165885498457123859e+00,9.293743803170003703e-01,3.755788799108982090e+01,6.007026787959541814e-01
