time,F_11,F_12,F_21,F_22,a0_x,a0_y,fiber_angle_deg,beta,beta_equilibrium,stimulus,strain_energy,sigma_11,sigma_12,sigma_21,sigma_22
2.149999999999999911e+00,1.041968445261089782e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.597219613972344243e-01,5.147787739336702195e-01,8.573230510766330914e-01,5.901733092454178120e+01,1.084362738781719238e-01,2.301223090658355286e-01,8.222332002760235348e-02,3.382242053983741670e-02,8.569824091981267378e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.893375681184525705e-01
2.200000000000000178e+00,1.043818993958727015e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.580205052673532728e-01,5.163723965963863405e-01,8.563641445280765208e-01,5.891076792211789126e+01,1.093455052623705376e-01,2.398146127222936519e-01,8.577219398934529671e-02,3.680690330861935422e-02,8.955809214900896098e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.219671148728516785e-01
2.250000000000000000e+00,1.045700839479544397e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.562964494680045169e-01,5.180795299627594108e-01,8.553324503569160742e-01,5.879648189173002493e+01,1.103203632811070034e-01,2.498097396085550981e-01,8.937464082807189403e-02,3.996572476667736851e-02,9.349024568822384973e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.549710073488832052e-01
2.300000000000000266e+00,1.047613256336270782e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.545507313426095930e-01,5.199027475789911312e-01,8.542254579792245561e-01,5.867427177596887589e+01,1.113626202543382682e-01,2.600873253460018741e-01,9.302897515392510863e-02,4.330316779098009050e-02,9.749353485148498644e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.883290129328916818e-01
2.350000000000000089e+00,1.049555507255803599e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.527842911468562548e-01,5.218442513973260422e-01,8.530407828958498362e-01,5.854395826764414323e+01,1.124738830978229964e-01,2.706256327114159310e-01,9.673349623692426014e-02,4.682334133602417126e-02,1.015667628109872211e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.220209454378263114e-01
2.400000000000000355e+00,1.051526843463440830e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.509980712487323684e-01,5.239058528331610454e-01,8.517761779758565854e-01,5.840538502905710061e+01,1.136555843011931022e-01,2.814017623824733305e-01,1.004864891368446866e-01,5.053017021498407146e-02,1.057087025241876477e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.560266848119090000e-01
2.450000000000000178e+00,1.053526504971548539e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.491930153451677565e-01,5.260889575706929611e-01,8.504295436555467935e-01,5.825841969164157064e+01,1.149089745481154667e-01,2.923918726523922484e-01,1.042862258248972857e-01,5.442738528809165643e-02,1.099180966775662682e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.903261961994815898e-01
2.500000000000000000e+00,1.055553720872549617e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.473700676961970268e-01,5.283945542820857044e-01,8.489989369869882507e-01,5.810295462644086939e+01,1.162351170332910633e-01,3.035714040487630383e-01,1.081309662960455442e-01,5.851851407290720175e-02,1.141936576478844056e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.024899548333030541e+00
2.550000000000000266e+00,1.057607709636124937e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.455301723774828249e-01,5.308232073516181426e-01,8.474825794887709263e-01,5.793890748018664993e+01,1.176348835002568316e-01,3.149153048466175608e-01,1.120189596708578150e-01,6.280687178981114727e-02,1.185340674817699336e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.059726931238076375e+00
2.600000000000000089e+00,1.059687679410506345e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.436742725519748909e-01,5.333750536226167238e-01,8.458788637701445401e-01,5.776622147602902402e+01,1.191089519938141050e-01,3.263982536329406159e-01,1.159484452858282333e-01,6.729555285461596981e-02,1.229379778944241108e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.094788673235009613e+00
